sheep_plasticity;wolf_plasticity;cost_plasticity_sheep;cost_plasticity_wolf;sheep_gain_from_food;wolf_gain_from_food;sheep_reproduce;wolf_reproduce;grass_regrowth_time;mean_Richness;sd_Richness
2;3;0,8;0,9;20;50;10;5;10;6,59;0,49431107
2;3;0,8;0,9;40;40;10;10;15;6,59;0,652810552
2;3;0,8;0,9;30;50;15;5;15;6,57;0,55514126
2;3;0,8;0,9;30;40;15;15;15;6,54;0,626357112
2;3;0,8;0,9;30;40;10;10;10;6,51;0,594503443
2;3;0,8;0,9;30;50;10;5;10;6,48;0,559220236
2;3;0,8;0,9;20;40;10;10;5;6,47;0,558768487
2;3;0,8;0,9;30;50;10;5;15;6,44;0,556322703
2;3;0,8;0,9;30;50;10;15;15;6,43;0,51747249
2;3;0,8;0,9;30;50;15;10;15;6,42;0,638495707
2;3;0,8;0,9;40;50;10;5;15;6,41;0,604611905
2;3;0,8;0,9;20;50;10;15;10;6,4;0,603022689
2;3;0,8;0,9;20;50;10;10;10;6,38;0,599326221
2;3;0,8;0,9;20;50;15;10;10;6,35;0,657128741
2;3;0,8;0,9;20;50;15;15;10;6,3;0,611340636
2;3;0,8;0,9;20;50;10;5;5;6,28;0,45126086
2;3;0,8;0,9;40;40;10;5;15;6,25;0,796139676
2;3;0,8;0,9;20;40;10;5;5;6,19;0,677115092
2;3;0,8;0,9;30;40;10;5;10;6,17;0,652191333
2;3;0,8;0,9;30;50;10;10;15;6,15;0,641573193
